"taxon_group","kw_stat","kw_df","kw_p","kw_p_adj","significant"
"Syndiniales",70.5752691501925,5,7.77856329366469e-14,0,TRUE
"Bacillariophyceae",48.3462874101854,5,3.01828883532304e-09,0,TRUE
