"OTU_Label","OTU_ID","Cluster","Division","Class","Order","Family","Genus","Species"
"Reckertia_ASV_16338","ASV_16338","C2","Rhizaria","Filosa-Imbricatea","Thaumatomonadida","Thaumatomonadidae","Reckertia","Reckertia_filosa"
"Rotifera_XX_ASV_16726","ASV_16726","C3","Opisthokonta","Rotifera","Rotifera_X","Rotifera_XX",NA,NA
"Pelagomonadales_clade_A3_ASV_10742","ASV_10742","C2","Stramenopiles","Pelagophyceae","Pelagomonadales","Pelagomonadales_clade_A","Pelagomonadales_clade_A3","Pelagomonadales_clade_A3_sp."
"Nolandella_ASV_19262","ASV_19262","C1","Tubulinea","Elardia","Euamoebida","Nolandellidae","Nolandella","Nolandella_sp."
"Carradoriella_ASV_24925","ASV_24925","C4","Rhodophyta","Florideophyceae","Ceramiales","Rhodomelaceae","Carradoriella","Carradoriella_elongata"
"OTU_ASV_5396","ASV_5396","C5","Alveolata",NA,NA,NA,NA,NA
"Bacillariophyceae_ASV_10048","ASV_10048","C2","Stramenopiles","Bacillariophyceae","Achnanthales",NA,NA,NA
"Phyllopharyngea_ASV_3826","ASV_3826","C4","Alveolata","Phyllopharyngea","Suctoria",NA,NA,NA
"Maxillopoda_ASV_13878","ASV_13878","C3","Opisthokonta","Arthropoda","Crustacea","Maxillopoda",NA,NA
"Zoothamnium_1_ASV_32734","ASV_32734","C4","Alveolata","Oligohymenophorea","Peritrichia_2","Sessilida","Zoothamnium_1",NA
"Filosa-Thecofilosea_ASV_15525","ASV_15525","C1","Rhizaria","Filosa-Thecofilosea","Cryomonadida",NA,NA,NA
