"OTU_Label","Term","Estimate","SE","z","p_raw","p_BH","lower","upper","sig_BH","CI_excl_zero","extreme_estimate","reliable","sig_any","predictor_type","Domain","Supergroup","Division","Subdivision","Class","Order","Family","Genus","Species","mean_rel_abund","abund_weight"
"Navicula_ASV_10118","seasonSpring:substrateWeathered_PET",-1.25675780762643,1.42449263311212,-0.882249425804871,0.377641939051763,0.999999999999916,-4.04876336852618,1.53524775327332,FALSE,FALSE,FALSE,FALSE,FALSE,"season × substrate","Eukaryota","TSAR","Stramenopiles","Gyrista","Bacillariophyceae","Naviculales","Naviculaceae","Navicula",NA,0.00144794452116373,0.0128753450688817
"CCW10-lineage_X_ASV_13480","seasonSpring:substrateWeathered_PET",-4.31574879179842,33.1181588733764,-0.13031366895422,0.896318266024083,0.999999999999916,-69.2273401836162,60.5958426000194,FALSE,FALSE,FALSE,FALSE,FALSE,"season × substrate","Eukaryota","TSAR","Rhizaria","Cercozoa","Filosa-Thecofilosea","Ventricleftida","CCW10-lineage","CCW10-lineage_X","CCW10-lineage_X_sp.",0.00186313323473397,0.0165672668778924
"Bryocamptus_ASV_13856","seasonSpring:substrateWeathered_PET",4.61293588073086,496.238598006874,0.00929580225975684,0.992583129714509,0.999999999999916,-968.014716212742,977.240587974204,FALSE,FALSE,FALSE,FALSE,FALSE,"season × substrate","Eukaryota","Obazoa","Opisthokonta","Metazoa","Arthropoda","Crustacea","Maxillopoda","Bryocamptus","Bryocamptus_stillae",0.00130929922513387,0.0116424898023506
"OTU_ASV_17235","seasonSpring:substrateWeathered_PET",5.06430658614903,2.23129875813031,2.26966763984246,0.0232277562454894,0.289251304189114,0.690961020213623,9.43765215208445,FALSE,TRUE,FALSE,FALSE,FALSE,"season × substrate","Eukaryota","Obazoa","Opisthokonta","Metazoa",NA,NA,NA,NA,NA,0.00183034884284599,0.0162757430299401
"Argopecten_ASV_16928","seasonSpring:substrateWeathered_PET",0.637290197789367,1.24398741136751,0.512296339951539,0.608443626416115,0.999999999999916,-1.80092512849096,3.07550552406969,FALSE,FALSE,FALSE,FALSE,FALSE,"season × substrate","Eukaryota","Obazoa","Opisthokonta","Metazoa","Mollusca","Bivalvia","Pectinoida","Argopecten",NA,0.00151349161221869,0.0134581998697796
"Leathesia_ASV_8462","seasonSpring:substrateWeathered_PET",0.488594381738262,310.429774990357,0.00157392885960582,0.998744186981613,0.999999999999916,-607.953764599361,608.930953362837,FALSE,FALSE,FALSE,FALSE,FALSE,"season × substrate","Eukaryota","TSAR","Stramenopiles","Gyrista","Phaeophyceae","Phaeophyceae_X","Phaeophyceae_XX","Leathesia","Leathesia_difformis",0.00130867849009306,0.0116369701310303
"Ascidiella_ASV_17116","seasonSpring:substrateWeathered_PET",5.99226752002677,205.970451141183,0.0290928503910464,0.976790537947432,0.999999999999916,-397.709816716693,409.694351756746,FALSE,FALSE,FALSE,FALSE,FALSE,"season × substrate","Eukaryota","Obazoa","Opisthokonta","Metazoa","Urochordata","Urochordata_X","Ascidiacea","Ascidiella","Ascidiella_sp.",0.000956014564024995,0.00850102833553695
"Aplanochytrium_ASV_9331","seasonSpring:substrateWeathered_PET",-3.15119791167682,31.5554524858745,-0.0998622318310099,0.920453701050302,0.999999999999916,-64.9998847839908,58.6974889606372,FALSE,FALSE,FALSE,FALSE,FALSE,"season × substrate","Eukaryota","TSAR","Stramenopiles","Bigyra","Sagenista","Labyrinthulomycetes","Labyrinthulaceae","Aplanochytrium","Aplanochytrium_sp.",0.00168175089794053,0.0149543872810011
"Craticula_ASV_10145","seasonSpring:substrateWeathered_PET",3.28144140294012,55.9949193189942,0.0586024847048402,0.953268731578139,0.999999999999916,-106.468600462288,113.031483268169,FALSE,FALSE,FALSE,FALSE,FALSE,"season × substrate","Eukaryota","TSAR","Stramenopiles","Gyrista","Bacillariophyceae","Naviculales","Stauroneidaceae","Craticula","Craticula_importuna",0.00111236017149714,0.00989127748996579
"Pylaiella_ASV_8146","seasonSpring:substrateWeathered_PET",0.206519670439602,2610.42018930209,7.91135738552557e-05,0.999936876500937,0.999999999999916,-5116.21705136166,5116.63009070254,FALSE,FALSE,FALSE,FALSE,FALSE,"season × substrate","Eukaryota","TSAR","Stramenopiles","Gyrista","Phaeophyceae","Phaeophyceae_X","Phaeophyceae_XX","Pylaiella","Pylaiella_littoralis",0.00101241988155794,0.00900259308221168
