"Mode","Site","Sink season","Source season","Substrate","N sinks","N sources","Water % (mean +/- SE)","Unknown % (mean +/- SE)"
"Per substrate","TBS","Spring","Spring","Weathered_PE",3,6,"24.5 +/- 2.7","75.5 +/- 2.7"
"Per substrate","TBS","Spring","Spring","Weathered_PET",3,6,"29.5 +/- 8.7","70.5 +/- 8.7"
"Per substrate","TBS","Summer","Summer","Glass",3,6,"12.1 +/- 5.4","87.9 +/- 5.4"
"Per substrate","TBS","Summer","Summer","PE",3,6,"7.3 +/- 3.7","92.7 +/- 3.7"
"Per substrate","TBS","Summer","Summer","PET",3,6,"3.4 +/- 1.5","96.6 +/- 1.5"
"Per substrate","TBS","Summer","Summer","Weathered_PE",3,6,"11.1 +/- 3.3","88.9 +/- 3.3"
"Per substrate","TBS","Summer","Summer","Weathered_PET",3,6,"7.1 +/- 3.2","92.9 +/- 3.2"
"Per substrate","TBS","Fall","Fall","Glass",3,6,"9.9 +/- 5.1","90.1 +/- 5.1"
"Per substrate","TBS","Fall","Fall","PE",3,6,"25.1 +/- 16","74.9 +/- 16"
"Per substrate","TBS","Fall","Fall","PET",3,6,"43.5 +/- 21.4","56.5 +/- 21.4"
"Per substrate","TBS","Fall","Fall","Weathered_PE",3,6,"32.2 +/- 9.4","67.8 +/- 9.4"
"Per substrate","TBS","Fall","Fall","Weathered_PET",3,6,"18.2 +/- 6.5","81.8 +/- 6.5"
"Per substrate","TBS","Winter2","Winter2","Glass",3,6,"42.2 +/- 29.2","57.8 +/- 29.2"
"Per substrate","TBS","Winter2","Winter2","PE",2,6,"22.9 +/- 22.9","77.1 +/- 22.9"
"Per substrate","TBS","Winter2","Winter2","PET",3,6,"9.8 +/- 1.4","90.2 +/- 1.4"
"Per substrate","TBS","Winter2","Winter2","Weathered_PE",3,6,"28.3 +/- 23.5","71.7 +/- 23.5"
"Per substrate","TBS","Winter2","Winter2","Weathered_PET",3,6,"14.4 +/- 0.4","85.6 +/- 0.4"
