"quadrant","n_pairs","pct_pairs","n_strong","pct_strong","mean_res_cor","mean_env_cor","mean_surprise","n_same_class","pct_same_class"
"Q1",8540,42.9,3424,50.8,0.422,0.472,-0.049,618,58.2
"Q2",2098,10.5,196,2.9,-0.229,0.482,-0.253,127,12
"Q3",7447,37.4,2892,42.9,0.416,-0.434,-0.018,247,23.3
"Q4",1815,9.1,229,3.4,-0.24,-0.447,-0.207,70,6.6
